Record Type	Property	Name Type	Query Type	Search Tag Name	Used For	Semantic?	Force Range Index?	Explanation	JSON Path(s)	Predicate
any	Sort	Name	string	anySortName		Non	N		/json/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300451544']/content	
any	Sort	NameEn	string	anySortNameEn		Non	N		/json/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300451544'][./language/equivalent/id='http://vocab.getty.edu/aat/300388277']/content	
any	Sort	NameFr	string	anySortNameFr		Non	N		/json/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300451544'][./language/equivalent/id='http://vocab.getty.edu/aat/300388306']/content	
any	Sort	NameZh	string	anySortNameZh		Non	N		/json/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300451544'][./language/equivalent/id='http://vocab.getty.edu/aat/300388113']/content	
										
										
reference		Name	keyword	referenceName	Search	Non	Y	Auto complete endpoint may attempt to use.	/json[type = ('Group', 'Person', 'Place', 'Activity', 'Period', 'Type', 'Language', 'MeasurementUnit')]/identified_by[./type='Name']/content	
reference	Primary	Name	keyword	referencePrimaryName		Non	Y		/json[type = ('Group', 'Person', 'Place', 'Activity', 'Period', 'Type', 'Language', 'MeasurementUnit')]/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300404670']/content	
reference	Any	Text	keyword	referenceAnyText	Search	Non	N		/json[type = ('Group', 'Person', 'Place', 'Activity', 'Period', 'Type', 'Language', 'MeasurementUnit')]//content	
reference	Type	Id	uri	referenceTypeId	Search	Non	N		/json[type = ('Group', 'Person', 'Place', 'Activity', 'Period', 'Type', 'Language', 'MeasurementUnit')]/classified_as/id	
reference		Identifier	string	referenceIdentifier	Search	Non	N		/json[type = ('Group', 'Person', 'Place', 'Activity', 'Period', 'Type', 'Language', 'MeasurementUnit')]/identified_by[./type='Identifier']/content ,  /json[type = ('Group', 'Person', 'Place', 'Activity', 'Period', 'Type', 'Language', 'MeasurementUnit')]/equivalent/id	
										
										
agent	Any	Text	keyword	agentAnyText	Search	Non	N		/json[type = ('Group', 'Person')]//content	
agent		Name	keyword	agentName	Search	Non	Y	Search for agents by keyword in name	/json[type = ('Group', 'Person')]/identified_by[./type='Name']/content	
agent	Primary	Name	keyword	agentPrimaryName	Search	Non	Y	Search for agents by keyword in primary name	/json[type = ('Group', 'Person')]/identified_by[./classified_as/equivalent/id='http://vocab.getty.edu/aat/300404670']/content	
agent		Identifier	string	agentIdentifier	Search	Non	N	Search for agents by identifier, including equivalent URIs	/json[type = ('Group', 'Person')]/identified_by[./type='Identifier']/content ,  /json[type = ('Group', 'Person')]/equivalent/id	
