Aspect	Applies to LUX field index patterns	Default / index-only behavior	How false positives / negatives arise	LUX customer example / relevance	Behavior change / mitigation	Recommended LUX stance	Optic implication	Confidence	Sources
"Punctuation

Standalone punctuation is stripped from name and text search terms."	Keyword; Exact Match; sometimes Field Range Index support depending on collation/value query usage	Punctuation and space tokens are not generally indexed as words in the universal index; word queries involving punctuation do not use punctuation in index resolution.	"A punctuation-sensitive search can select candidates that contain the word tokens but not the same punctuation relationship. If such a query is negated, false positives in A can become false negatives in NOT A."	"Names, identifiers, product codes, military-style codes, and collection terms such as “O’Keeffe”, “AT&T”, or “F-12”."	"For exact values, prefer exact value queries, string field range equality with an appropriate collation such as codepoint, or isolated/tagged fields for exact identifiers. For Optic, filter candidate documents with cts.contains when exact punctuation semantics matter."	Do not promise exact punctuation semantics from Keyword fields alone. Route exact identifiers/names through Exact Match or range-backed fields when possible; otherwise conditionally filter.	"Use op.fromSearchDocs(candidateCtsQuery) to constrain candidates, then add cts.contains(doc, exactCtsQuery) via op.call when the index cannot prove the punctuation-sensitive match."	High	Bob Starbird Unfiltered Searches; MarkLogic cts:search docs; Optic docs; Teams discussion
Whitespace	Keyword; Exact Match; sometimes Field Range Index support depending on collation/value query usage	Whitespace tokens are not generally indexed as words in the universal index; whitespace-sensitive word/value behavior is not always provable from token indexes.	Indexes may prove the component tokens exist but not the exact whitespace form. NOT of such a query can under-select when index resolution is approximate.	"Multi-word names/titles where “New York”, “New  York”, and joined/normalized variants are user-visible distinctions."	Use exact value semantics or field/range indexes with suitable collation for exact-match fields. Filter with cts.contains when whitespace sensitivity is part of user intent.	Keyword should remain recall-oriented. Exact Match should carry stricter semantics; filter only for user-facing searches that require exact whitespace behavior.	Parameterize or build the CTS query with whitespace-sensitive options for the filter step; keep candidate query as selective as safely possible.	High	Bob Starbird Unfiltered Searches; MarkLogic cts:search docs; Optic docs
Case	Keyword; Exact Match	Case-insensitive queries can be resolved from the index; case-sensitive searches require the right index support for index-only accuracy. Bob’s notes call out lower-case case-sensitive searches as a source of inaccurate unfiltered results.	"A case-sensitive query can select candidates based on case-insensitive terms, especially when fast case-sensitive searches are not available for the scenario."	"Names, acronyms, and identifiers where “US”, “us”, “May”, and “may” should not be interchangeable."	Enable fast case-sensitive searches where case-sensitive search is important; use exact value/range-backed fields for exact identifiers; otherwise filter.	Default Keyword fields should stay forgiving unless the UI explicitly offers case-sensitive behavior. Exact-match fields should be tested for exact case expectations.	Do not rely on op.fromSearch/op.fromSearchDocs alone for CTS filtered behavior; add cts.contains on doc when case-sensitive exactness matters.	High	Bob Starbird Unfiltered Searches; MarkLogic cts:search docs; Teams discussion
Diacritics	Keyword; Exact Match	Diacritic-insensitive behavior is index-friendly; diacritic-sensitive searches may need fast diacritic-sensitive searches for better index resolution.	"Without diacritic-sensitive index support, a diacritic-sensitive query can select accent-insensitive candidates that filtering would later reject."	"Artist/person/place names such as “résumé/resume” style distinctions, European names, and transliteration-sensitive catalog data."	Enable fast diacritic-sensitive searches where required; use exact value/range-backed fields for exact strings; filter when diacritic-sensitive precision matters.	"For general Keyword search, diacritic-insensitive behavior is usually desirable for recall. For authoritative identifiers/names, use Exact Match or filter."	Only conditionally filter searches where the UI/query semantics require diacritic-sensitive precision.	High	Bob Starbird Unfiltered Searches; MarkLogic cts:search docs
Stemming	Keyword primarily; Exact Match should generally avoid stemming	Stemming broadens term matching. Bob’s notes distinguish word-query and value-query stemming behavior and note that wildcard queries use unstemmed words.	"Stemmed resolution can admit morphologically related terms that may not satisfy a stricter user expectation. Conversely, stemming implementation details can affect which forms match."	"User keyword searches across object/person/place text where recall is desired; less appropriate for exact names, codes, and identifiers."	Use unstemmed/exact options for exact-match use cases; separate Keyword versus Exact Match field patterns; avoid stemming on exact identifier fields.	"Treat stemming as a recall feature, not a precision guarantee. Do not use Keyword semantics to answer exact-match requirements."	"If a stemmed candidate query is used for performance/relevance but exact semantics are required, filter with an unstemmed/exact CTS query."	Medium-High	Bob Starbird Unfiltered Searches
Wildcarding	Keyword primarily; sometimes Exact Match only if explicitly supported	"MarkLogic supports wildcard search with wildcard-related indexes, but Bob’s notes say problem wildcard queries are still possible with any combination of indexes."	Wildcard expansion can over-select candidates. Arbitrary wildcard patterns are not guaranteed to be accurately resolvable unfiltered in the general case.	"Advanced search terms with prefix/suffix/infix wildcards, partial names, and unknown spellings."	"Use trailing wildcard indexes, three-character indexes, wildcard word positions, and/or lexicons as appropriate; constrain allowed wildcard patterns; filter high-risk patterns."	"Allow wildcarding as a recall-oriented feature, but identify patterns that require filtering or are too expensive/risky for production defaults."	Push the safest selective wildcard-compatible CTS query into fromSearchDocs; use cts.contains for final correctness when wildcard pattern semantics matter.	High	Bob Starbird Unfiltered Searches; MarkLogic cts:search docs
Phrases and word positions	Keyword; field word queries	Phrase accuracy depends on position/phrase-related indexes. Checked searches eliminate phrase false positives during CTS search index resolution; unchecked searches can produce false positives.	"Without sufficient positions, indexes may know all phrase words exist but not that they occur together in order/proximity."	Quoted user searches for names/titles such as “Walter Bradford Cannon” or titles/labels where term adjacency matters.	"Enable word positions, element/field word positions, and phrase-related index options where phrase search accuracy/performance matters; filter when index evidence is insufficient."	Quoted phrases are a prime trigger for conditional filtering unless the relevant field pattern is known to have sufficient phrase/position support.	"Use candidate phrase/field query in fromSearchDocs when available, then cts.contains(doc, fullPhraseQuery) for customer-visible correctness."	High	Bob Starbird Unfiltered Searches; MarkLogic cts:search docs; Optic docs
Near/proximity constraints	Keyword; field word queries	"Near/proximity queries depend on word positions. MarkLogic examples show near queries can express proximity in Optic via CTS queries, while Optic searches themselves are unfiltered."	Indexes may identify both terms without being able to fully prove the requested proximity if positional support is insufficient or not checked.	Advanced searches that require one name/title/concept near another.	Enable/check positional indexes and use checked CTS behavior; filter in Optic when exact proximity semantics matter.	Treat proximity as higher-risk than simple term existence. Filter if the field pattern does not explicitly support accurate proximity resolution.	Candidate query should include cheap/selective constraints; cts.contains should contain the exact near/proximity CTS query.	Medium-High	MarkLogic cts:search docs; Optic search capabilities docs; Bob Starbird Unfiltered Searches
Field containment / same field instance	Keyword field queries; fields over JSON-LD paths; nested content	"Fast element/field word indexes can track field/element names with words, but may not prove phrase/instance relationships without more granular indexes."	"A fragment can contain the field and the word, or contain parent/child relationships, without the matching term being in the intended same field/subtree instance."	JSON-LD documents reuse property names in multiple contexts; path-based fields and broad “AnyText” fields can over-select.	"Use narrower fields, exact-match fields, range indexes, or TDE/view columns where possible; filter for same-field/same-subtree correctness."	Be explicit that “field hit” can be candidate-level unless field design/indexes prove the intended scope. Tests should include terms both inside and outside the field path.	"For Optic migration, fromSearchDocs can produce candidate docs; cts.contains against doc is the filter equivalent for scoped field semantics."	Medium-High	Bob Starbird Unfiltered Searches; Teams discussion
Field range indexes / structured exact values	Exact Match; Exclusive Support of Field Range Indexes	Field range indexes track values appearing in a field and accelerate comparison queries; collation and scalar type define comparison behavior.	"Range queries are generally stronger for exact structured constraints, but invalid-values settings and collation choices can affect behavior and query-time errors/omissions."	"Dates, dimensions, sort names, data type filters, identifiers, and fields created specifically for equality/range comparison."	Choose scalar type/collation deliberately; prefer codepoint/exact collation for exact string equality; use invalid-values=reject unless a documented reason exists to ignore/skip invalids.	"For customer-facing exact-match promises, prefer range-backed Exact Match / Exclusive Range patterns over broad Keyword fields."	"Where an Optic plan can use fromView/fromLexicons/range-backed columns, prefer that over document filtering. Use cts.contains only for residual full-text semantics not represented in rows/indexes."	Medium-High	MarkLogic field range index docs; Teams discussion
